order_id,order_date,seller_days,carrier_days,order_value,bottleneck,risk_level,delivery_status,recommended_action,priority
d7a2c0c1ff66b314f3bf166fb4157fd4,2017-11-20,15,37,3184.55,Both,Critical,Late,Priority operations intervention,P1
f0da489592c62097d0034f139386cb32,2017-04-05,8,19,3009.53,Both,Critical,On Time,Priority operations intervention,P1
794c69999774820e22c161f6dc4fef91,2017-05-09,20,11,2794.5,Both,Critical,On Time,Priority operations intervention,P1
bf205457ee84ab84c423d67b88239982,2017-12-21,18,18,2733.6299999999997,Both,Critical,Late,Priority operations intervention,P1
6d0940a8f5fba47562bb14cd97dfd6da,2018-08-10,24,9,2455.12,Both,Critical,Late,Priority operations intervention,P1
947ee6ab639791b5711558a7e55cf98e,2018-06-11,37,10,2223.12,Both,Critical,On Time,Priority operations intervention,P1
8ae8b33f63d9924a2db9ec6c1e98fd35,2017-04-03,22,10,2111.57,Both,Critical,Late,Priority operations intervention,P1
cfed507ac357129f750f05a0d7d71b15,2018-02-25,11,29,2091.33,Both,Critical,Late,Priority operations intervention,P1
725cf8e9c24e679a8a5a32cb92c9ce1e,2017-06-08,15,13,2067.42,Both,Critical,On Time,Priority operations intervention,P1
c819d9ce6576bb453e886c2e95aa5697,2017-08-16,30,10,2065.35,Both,Critical,On Time,Priority operations intervention,P1
80ac215e5fbfa62e737e8d47e2287b2c,2017-10-28,13,9,2039.31,Both,Critical,On Time,Priority operations intervention,P1
d9374184c685550085112ae190d8f9c0,2017-06-14,23,24,2036.86,Both,Critical,Late,Priority operations intervention,P1
c52e91d0960446c0624a5a984188ffba,2017-06-19,23,16,2035.86,Both,Critical,Late,Priority operations intervention,P1
dc03cba6a1d6cf5c28d1fde5dab9a0bd,2017-07-18,23,8,2034.48,Both,Critical,Late,Priority operations intervention,P1
2d57b1f21a3ec32c23b4d6e95870e4a7,2017-11-28,13,11,2032.04,Both,Critical,Late,Priority operations intervention,P1
9b4ea4ff8f51f91557fd6448e909cf81,2017-06-18,16,14,2026.54,Both,Critical,Late,Priority operations intervention,P1
5bd06bab48e0423fc35d1c236d48a6bb,2017-05-11,19,8,2017.08,Both,Critical,On Time,Priority operations intervention,P1
71dab1155600756af6de79de92e712e3,2018-02-01,18,21,1988.5300000000004,Both,Critical,On Time,Priority operations intervention,P1
f92b34d1e66d16dfe85adfbf914dee86,2018-07-23,8,22,1859.1,Both,Critical,Late,Priority operations intervention,P1
c75dfb74f7e634744d13799759233b78,2018-02-09,7,17,1821.87,Both,Critical,On Time,Priority operations intervention,P1
a123264c1f8bef4f19be2d4245017920,2017-11-24,12,8,1798.01,Both,Critical,On Time,Priority operations intervention,P1
bc488184689ceaa10ede9045693eb6bc,2018-04-03,6,32,1729.98,Both,Critical,Late,Priority operations intervention,P1
543191db0a8f28cd664d601260fb1dee,2018-01-14,26,18,1714.21,Both,Critical,On Time,Priority operations intervention,P1
dd6d0f11a9c3d2abdc91e95b9598b332,2018-01-11,28,13,1692.05,Both,Critical,On Time,Priority operations intervention,P1
3d4c0bee5a287df3c005b08aebb13911,2018-01-13,26,9,1668.74,Both,Critical,On Time,Priority operations intervention,P1
9f1dcbf0e12d0df2ee7611bb738a9106,2017-08-20,10,16,1650.56,Both,Critical,On Time,Priority operations intervention,P1
d54005052afdbf06d7a1d39cc9e45f92,2017-03-14,6,19,1648.64,Both,Critical,On Time,Priority operations intervention,P1
20c950b58c4d3cf3df11b319f493242c,2017-12-20,8,25,1564.0700000000002,Both,Critical,On Time,Priority operations intervention,P1
789ef8e547844763c96f5e815b5478e3,2018-07-12,11,14,1562.5700000000002,Both,Critical,On Time,Priority operations intervention,P1
38dcb5499d8854b4b2c6dbaaf983f21e,2017-06-01,35,13,1537.04,Both,Critical,Late,Priority operations intervention,P1
d49132be94be94057aadb0fdd665943b,2018-01-17,19,22,1527.51,Both,Critical,Late,Priority operations intervention,P1
854b499ad9cdbb8d8945d8b0c0459455,2018-03-13,8,20,1522.99,Both,Critical,On Time,Priority operations intervention,P1
820349ed7a25bbfa196bb4f9a28442f2,2017-11-04,12,11,1479.51,Both,Critical,On Time,Priority operations intervention,P1
89be631fd4bcaeb41bbc2f969b37aecf,2018-01-02,6,18,1475.08,Both,Critical,On Time,Priority operations intervention,P1
47892e2502f689c00844f192c73a4d0d,2018-01-03,6,29,1437.1,Both,Critical,Late,Priority operations intervention,P1
d5f143e9c159a5f1c33f7477c89db770,2017-12-26,7,51,1426.57,Both,Critical,Late,Priority operations intervention,P1
efe2bd0e4d25b933231492f36a6e1847,2018-02-21,7,24,1394.77,Both,Critical,Late,Priority operations intervention,P1
264a7e199467906c0727394df82d1a6a,2018-04-06,19,13,1388.3,Both,Critical,On Time,Priority operations intervention,P1
3c140d933d3475ec823f9b748ca5c49f,2017-12-12,7,21,1381.83,Both,Critical,On Time,Priority operations intervention,P1
0b6230647ed16f4b3e70282dc4b5b87f,2018-05-16,14,13,1371.88,Both,Critical,On Time,Priority operations intervention,P1
30da20eacd71a5e8cac16c775ef72984,2018-02-02,7,32,1369.63,Both,Critical,Late,Priority operations intervention,P1
fa9bb0fcd9ac91743999d13c2860dac5,2018-01-17,22,14,1362.37,Both,Critical,On Time,Priority operations intervention,P1
24ae0d766df69840feedaece7acfc653,2017-03-13,8,23,1355.73,Both,Critical,On Time,Priority operations intervention,P1
4442d1fdf454197e9e141f0d83a9031e,2017-02-03,17,9,1323.79,Both,Critical,On Time,Priority operations intervention,P1
0e4672661531addf3fa0f55961e55242,2017-06-25,12,21,1304.02,Both,Critical,On Time,Priority operations intervention,P1
5b265b1557d0d44a32df50b4fbf98c7b,2018-05-29,7,21,1301.01,Both,Critical,On Time,Priority operations intervention,P1
556aa092c68a19aa8aef519574539444,2017-08-14,11,17,1300.57,Both,Critical,On Time,Priority operations intervention,P1
17c378811f6ab30e2c7d554f2d4fbd44,2017-07-27,8,25,1300.57,Both,Critical,On Time,Priority operations intervention,P1
6f4822a6ea32489ed368e0ed3276a3b1,2017-02-20,9,21,1290.79,Both,Critical,On Time,Priority operations intervention,P1
51e827dc634ca855acba1d305c4649af,2017-09-15,11,13,1265.83,Both,Critical,On Time,Priority operations intervention,P1
9695692d040abab63df40b68c2905278,2018-03-26,18,25,1264.17,Both,Critical,Late,Priority operations intervention,P1
a6a5d5673d42186a8b8b94ad29b59897,2017-05-15,37,29,1247.36,Both,Critical,Late,Priority operations intervention,P1
29fc23bcd9e04ac6a5919350404eb36c,2018-03-03,11,21,1246.9,Both,Critical,Late,Priority operations intervention,P1
d4148052141383039b68bbb6bd525f3b,2018-03-20,14,49,1245.09,Both,Critical,Late,Priority operations intervention,P1
f73de6a34a3027ae82efac7a6bb5318d,2018-05-23,28,27,1244.74,Both,Critical,Late,Priority operations intervention,P1
980496fd521b7f8fe2d75593d11ee1fb,2017-11-03,11,10,1227.98,Both,Critical,On Time,Priority operations intervention,P1
a45d988c5f5764f548ae6fa14a8ee773,2017-10-26,13,23,1223.7,Both,Critical,Late,Priority operations intervention,P1
593f849c29daaeee17ee32baa44795d6,2018-03-08,6,21,1218.3400000000001,Both,Critical,On Time,Priority operations intervention,P1
fcbb6af360b31b05460c2c8e524588c0,2017-12-01,17,24,1194.38,Both,Critical,Late,Priority operations intervention,P1
b2ec82a4b2d9bf24fc1f5ba0e4883bdc,2018-06-12,14,8,1157.41,Both,Critical,On Time,Priority operations intervention,P1
e55094da7605b6e7fd370e4a4be7194d,2018-06-09,6,15,1157.19,Both,Critical,On Time,Priority operations intervention,P1
e0bacd42e5f8077488c0a9f4dcfe66da,2017-04-21,28,20,1148.8799999999999,Both,Critical,Late,Priority operations intervention,P1
dda34d917fca93319316d959e22b9289,2017-02-22,8,15,1146.2,Both,Critical,On Time,Priority operations intervention,P1
d369d156735fab51bb2ef5c47e8d3e72,2017-11-15,15,13,1125.58,Both,Critical,Late,Priority operations intervention,P1
d97ceab969b84967a5c136683ab0625e,2018-07-18,12,9,1124.79,Both,Critical,On Time,Priority operations intervention,P1
d74fca7ee2ce7587c45eefb0fea95ed8,2017-11-28,10,18,1099.0,Both,Critical,On Time,Priority operations intervention,P1
a4a57f1ffa25b90dea9f150fee89db84,2017-09-06,61,25,1083.96,Both,Critical,Late,Priority operations intervention,P1
2c559a6f1ac48c4f100f4775a1362ea1,2018-01-10,7,16,1083.2,Both,Critical,On Time,Priority operations intervention,P1
e16532416e7fa0b226f67cb0a05696c2,2017-12-09,48,28,1082.51,Both,Critical,Late,Priority operations intervention,P1
ec65d7b245ccca0fccce3759b3642d3e,2017-05-30,13,14,1076.45,Both,Critical,On Time,Priority operations intervention,P1
fe12e676fd493885d417a34bc3917411,2017-05-22,14,8,1072.41,Both,Critical,On Time,Priority operations intervention,P1
4de4b5399589ac552a438c88653fa27b,2017-05-08,15,8,1055.92,Both,Critical,On Time,Priority operations intervention,P1
5e4264d346083d24d1dc20b9f656a728,2018-05-14,8,20,1052.36,Both,Critical,Late,Priority operations intervention,P1
5d9eaab2f0968ee661d96ba4afdf807d,2018-07-05,20,16,1049.53,Both,Critical,On Time,Priority operations intervention,P1
d3782eb2976abf986175941c51364aab,2017-12-06,14,13,1048.64,Both,Critical,Late,Priority operations intervention,P1
985dbac2172bbf6b32bcca35da50d7a0,2018-03-26,8,37,1025.71,Both,Critical,Late,Priority operations intervention,P1
3f1294f87d79b57f5d55ba7b80c3d94f,2018-01-28,8,21,1025.52,Both,Critical,On Time,Priority operations intervention,P1
05728fca024954ba1ce915ad5c94991f,2018-05-15,23,8,1024.2,Both,Critical,On Time,Priority operations intervention,P1
9d878626f2f4299a286c12663698d2d8,2018-03-27,7,23,1020.35,Both,Critical,Late,Priority operations intervention,P1
0229b2e398fde4545d32b5bb232973ad,2018-03-21,28,17,1017.63,Both,Critical,Late,Priority operations intervention,P1
43d1fe9178de269c073056a519bac11f,2018-03-19,30,8,1010.8,Both,Critical,On Time,Priority operations intervention,P1
72e2c4bbd8ad5d2eec29b795d95afbe2,2018-04-16,23,27,1006.77,Both,Critical,On Time,Priority operations intervention,P1
2e54a200a6bb88a705239b059efa8fd7,2018-01-10,7,23,997.37,Both,Critical,On Time,Priority operations intervention,P1
db747e7d69671f32e8e4ea7fdc1266ed,2018-07-19,6,28,995.6,Both,Critical,Late,Priority operations intervention,P1
ff2d25d8b1b734099dee10e90e23a2ab,2017-10-09,7,15,966.58,Both,Critical,On Time,Priority operations intervention,P1
5cb6969f0b3cd394de49463c4f4e4017,2018-02-07,14,33,962.52,Both,Critical,Late,Priority operations intervention,P1
39d1ca6f8d9875325e5f1491ee9af7e5,2017-05-18,18,14,959.96,Both,Critical,On Time,Priority operations intervention,P1
320fb5aed4e43d6dfbf53c4f2c5f70f1,2017-04-20,7,19,958.39,Both,Critical,Late,Priority operations intervention,P1
0f121110b75ef7c38c79d67833c49830,2017-09-14,14,12,956.86,Both,Critical,On Time,Priority operations intervention,P1
f5a52747a52ed566b63d20a717778698,2017-10-19,18,17,949.97,Both,Critical,On Time,Priority operations intervention,P1
b760d6b613bc2bca107e3c852501e649,2018-01-31,16,9,946.9,Both,Critical,On Time,Priority operations intervention,P1
c505a1999c5ad6aacc8339242d824073,2017-03-25,6,21,945.78,Both,Critical,Late,Priority operations intervention,P1
db52d0bad6e4192503aaeea87004ed6a,2018-03-04,6,24,939.98,Both,Critical,Late,Priority operations intervention,P1
87fc097f0342e12e5eeb4e772b40a96a,2018-02-07,21,16,936.99,Both,Critical,Late,Priority operations intervention,P1
80d272bb80e9d81f0868fae8f7848081,2017-11-25,16,36,931.8,Both,Critical,Late,Priority operations intervention,P1
0d8e03520c1b877edaf5ef24f7abb5cb,2018-05-12,6,24,928.6999999999999,Both,Critical,On Time,Priority operations intervention,P1
0d85f60a7eb6eff92a2c8363050cc7b2,2017-12-05,41,8,918.31,Both,Critical,Late,Priority operations intervention,P1
4638df545f7ab35cb2e4ed4bcb490e17,2017-09-07,15,15,902.35,Both,Critical,Late,Priority operations intervention,P1
5448a97fc343f6f23807effd01938241,2018-02-28,8,35,876.5,Both,Critical,Late,Priority operations intervention,P1
f6aeaaa897aaaf586ac05fb8d821ed9e,2017-11-23,14,19,874.9,Both,Critical,Late,Priority operations intervention,P1
84a4e538df041790d785fef8def30d62,2018-04-04,6,17,874.67,Both,Critical,Late,Priority operations intervention,P1
ac018e51985244ead60060db0a84f1ad,2018-03-11,8,23,874.42,Both,Critical,Late,Priority operations intervention,P1
e80816e94dec73e777b4951533d8f50c,2018-01-11,9,16,869.0999999999999,Both,Critical,On Time,Priority operations intervention,P1
6c1d2589bb92157989da84b6f7ac8ef6,2017-10-21,10,28,864.98,Both,Critical,On Time,Priority operations intervention,P1
8e3c10b463cb2ffb94546b5e9f05cd05,2018-04-02,9,15,860.92,Both,Critical,Late,Priority operations intervention,P1
5825f62edda362144cd0c349124fa927,2018-05-09,14,11,858.3100000000001,Both,Critical,Late,Priority operations intervention,P1
f3f65564546eca69a8247a280e51a77b,2018-02-02,14,35,856.86,Both,Critical,Late,Priority operations intervention,P1
0017afd5076e074a48f1f1a4c7bac9c5,2017-04-06,11,36,853.39,Both,Critical,Late,Priority operations intervention,P1
fad45938bae3bd8a63fbae03cc8ae040,2017-08-17,20,13,852.37,Both,Critical,On Time,Priority operations intervention,P1
9d92d6b679a62c069b6c7d7ecc1a4b90,2017-11-17,18,13,845.81,Both,Critical,Late,Priority operations intervention,P1
c50ed2bf9927ae7e870560f6fb8894ed,2017-09-18,14,9,845.01,Both,Critical,On Time,Priority operations intervention,P1
dbb7c264b7caf9353bda0d1eafc4322c,2018-07-12,6,15,844.8199999999999,Both,Critical,On Time,Priority operations intervention,P1
5849d6026e6ef0340a5e699086dbfbc7,2017-04-13,14,36,838.38,Both,Critical,Late,Priority operations intervention,P1
c7197036433dac8ba4041a18b0b435aa,2018-04-10,7,23,836.7,Both,Critical,Late,Priority operations intervention,P1
059511087f2394ebd55a674537a7c2cc,2018-02-14,7,35,834.9399999999999,Both,Critical,Late,Priority operations intervention,P1
